Date,Open,High,Low,Close,Adj Close,Volume,Amount
2017-10-17,4.864999771118164,4.925000190734863,4.837500095367432,4.914999961853027,4.210663318634033,5004400,24449621.77386284
2017-10-18,4.929999828338623,5.022500038146973,4.90500020980835,5.012499809265137,4.294191360473633,7648800,37995413.78116608
2017-10-19,5.002500057220459,5.037499904632568,4.982500076293945,5.012499809265137,4.294191360473633,5086400,25476505.80596924
2017-10-20,5.03249979019165,5.079999923706055,5.010000228881836,5.03249979019165,4.3113250732421875,6760800,34065980.54866791
2017-10-23,5.034999847412109,5.137499809265137,5.034999847412109,5.070000171661377,4.343451499938965,6814400,34544748.44760895
2017-10-24,5.105000019073486,5.119999885559082,4.985000133514404,4.989999771118164,4.27491569519043,6804800,34364239.67552185
2017-10-25,4.989999771118164,5.0,4.835000038146973,4.902500152587891,4.199954986572266,10313600,50865385.901641846
2017-10-26,4.887499809265137,4.934999942779541,4.817500114440918,4.877500057220459,4.178537368774414,8568400,41808436.58657074
2017-10-27,4.849999904632568,4.862500190734863,4.730000019073486,4.835000038146973,4.14212703704834,8920800,42992680.84030151
2017-10-30,4.857500076293945,4.867499828338623,4.650000095367432,4.692500114440918,4.02004861831665,9008000,42940010.25772095
2017-10-31,4.722499847412109,4.760000228881836,4.647500038146973,4.672500133514404,4.002914905548096,8775600,41250805.29398918
2017-11-01,4.667500019073486,4.737500190734863,4.632500171661377,4.650000095367432,3.9836390018463135,9954800,46507582.436704636
2017-11-02,4.650000095367432,4.650000095367432,4.554999828338623,4.627500057220459,3.9643633365631104,11618400,53684269.72160339
2017-11-03,4.625,4.637499809265137,4.525000095367432,4.525000095367432,3.876551389694214,8081600,36998575.0
2017-11-06,4.517499923706055,4.552499771118164,4.427499771118164,4.457499980926514,3.8187248706817627,12196000,54744793.313503265
2017-11-07,4.46999979019165,4.497499942779541,4.267499923706055,4.277500152587891,3.6645195484161377,11377600,49812554.457473755
2017-11-08,4.292500019073486,4.322500228881836,4.244999885559082,4.300000190734863,3.6837949752807617,8921600,38273664.72320557
2017-11-09,4.284999847412109,4.497499942779541,4.277500152587891,4.389999866485596,3.7608978748321533,11451600,49957604.45394516
2017-11-10,4.355000019073486,4.355000019073486,4.054999828338623,4.107500076293945,3.51888108253479,23149600,97647906.16884232
2017-11-13,4.107500076293945,4.210000038146973,3.9774999618530273,4.050000190734863,3.469621181488037,17498800,71504472.66817093
2017-11-14,4.025000095367432,4.09499979019165,3.9625000953674316,4.047500133514404,3.467479705810547,14071200,56742114.40258026
2017-11-15,4.019999980926514,4.125,3.9625000953674316,4.0,3.426786184310913,15286000,61554811.54155731
2017-11-16,4.002500057220459,4.197500228881836,4.002500057220459,4.045000076293945,3.4653377532958984,19420400,78883239.28728104
2017-11-17,4.077499866485596,4.144999980926514,4.037499904632568,4.077499866485596,3.4931800365448,12778000,52190142.53139496
2017-11-20,4.099999904632568,4.114999771118164,4.007500171661377,4.110000133514404,3.5210227966308594,15186800,62009602.677583694
2017-11-21,4.125,4.197500228881836,4.065000057220459,4.182499885559082,3.5831332206726074,37409600,154969269.60544586
2017-11-22,4.462500095367432,4.675000190734863,4.324999809265137,4.34250020980835,3.720205068588257,80569600,358635438.14697266
2017-11-24,4.357500076293945,4.545000076293945,4.337500095367432,4.355000019073486,3.7309131622314453,25896800,113913550.72879791
2017-11-27,4.397500038146973,4.547500133514404,4.397500038146973,4.542500019073486,3.8915438652038574,23387200,104570019.33822632
2017-11-28,4.542500019073486,4.764999866485596,4.542500019073486,4.755000114440918,4.073592185974121,23533600,109460657.11221695
2017-11-29,4.772500038146973,4.922500133514404,4.764999866485596,4.880000114440918,4.1806793212890625,25909200,125270982.98835754
2017-11-30,4.804999828338623,4.835000038146973,4.675000190734863,4.6875,4.095493316650391,20098800,95481862.03751564
2017-12-01,4.682499885559082,4.789999961853027,4.619999885559082,4.692500114440918,4.0998616218566895,15327600,71982240.91529846
2017-12-04,4.760000228881836,4.965000152587891,4.747499942779541,4.849999904632568,4.237469673156738,17445200,84271220.24822235
2017-12-05,4.882500171661377,4.912499904632568,4.737500190734863,4.817500114440918,4.209075450897217,12323600,59615416.17527008
2017-12-06,4.817500114440918,4.837500095367432,4.732500076293945,4.752500057220459,4.152283668518066,9721200,46515942.83437729
2017-12-07,4.747499942779541,4.787499904632568,4.652500152587891,4.65749979019165,4.069282054901123,13109200,61760717.812395096
